Date,Status,Delhi,Gujurat,Maharashtra,Tamil Nadu
26-Apr-20,Confirmed,293,230,440,64
26-Apr-20,Recovered,8,31,112,60
26-Apr-20,Deceased,0,18,19,1
27-Apr-20,Confirmed,190,247,522,52
27-Apr-20,Recovered,0,81,94,54
27-Apr-20,Deceased,0,11,27,0
28-Apr-20,Confirmed,206,226,728,121
28-Apr-20,Recovered,201,40,106,54
28-Apr-20,Deceased,0,19,31,1
29-Apr-20,Confirmed,125,308,597,104
29-Apr-20,Recovered,14,93,205,82
29-Apr-20,Deceased,2,16,32,2
30-Apr-20,Confirmed,76,313,583,161
30-Apr-20,Recovered,2,86,180,48
30-Apr-20,Deceased,3,17,27,0
01-May-20,Confirmed,223,326,1008,203
01-May-20,Recovered,73,123,106,54
01-May-20,Deceased,2,22,26,1
02-May-20,Confirmed,384,333,790,231
02-May-20,Recovered,89,160,121,29
02-May-20,Deceased,3,26,36,1
03-May-20,Confirmed,427,374,678,266
03-May-20,Recovered,106,146,115,38
03-May-20,Deceased,0,28,27,1
04-May-20,Confirmed,349,376,1567,527
04-May-20,Recovered,69,153,350,30
04-May-20,Deceased,0,29,35,1
05-May-20,Confirmed,206,441,984,508
05-May-20,Recovered,37,186,354,76
05-May-20,Deceased,0,49,34,2
06-May-20,Confirmed,428,380,1233,771
06-May-20,Recovered,74,119,275,31
06-May-20,Deceased,1,28,34,2
07-May-20,Confirmed,448,388,1216,580
07-May-20,Recovered,389,209,207,31
07-May-20,Deceased,1,29,43,2
08-May-20,Confirmed,338,390,1089,600
08-May-20,Recovered,89,163,169,58
08-May-20,Deceased,2,24,37,3
09-May-20,Confirmed,224,394,1165,526
09-May-20,Recovered,0,219,330,219
09-May-20,Deceased,0,23,48,4
10-May-20,Confirmed,381,398,1943,669
10-May-20,Recovered,49,454,399,135
10-May-20,Deceased,5,21,53,3
11-May-20,Confirmed,310,347,1230,798
11-May-20,Recovered,60,235,587,92
11-May-20,Deceased,0,20,36,6
12-May-20,Confirmed,406,362,1026,716
12-May-20,Recovered,383,466,339,83
12-May-20,Deceased,13,24,53,8
13-May-20,Confirmed,359,364,1495,509
13-May-20,Recovered,346,316,422,41
13-May-20,Deceased,20,29,54,3
14-May-20,Confirmed,472,324,1602,447
14-May-20,Recovered,187,191,542,65
14-May-20,Deceased,9,20,44,2
15-May-20,Confirmed,425,340,1576,434
15-May-20,Recovered,473,282,475,359
15-May-20,Deceased,8,20,49,5
